"codice","descrizione"
"001","Colera"
"0010","Colera da Vibrio cholerae"
"0011","Colera da Vibrio cholerae el tor"
"0019","Colera non specificato"
"002","Febbre tifoide e paratifoide"
"0020","Febbre tifoide"
"0021","Paratifo A"
"0022","Paratifo B"
"0023","Paratifo C"
"0029","Paratifo non specificato"
"003","Altre infezioni da Salmonella"
"0030","Gastroenterite da Salmonella"
"0031","Setticemia da Salmonella"
"0032","Infezioni localizzate da Salmonella"
"00320","Infezioni localizzate da Salmonella, non specificate"
"00321","Meningite da Salmonella"
"00322","Polmonite da Salmonella"
"00323","Artrite da Salmonella"
"00324","Osteomielite da Salmonella"
"00329","Altre infezioni localizzate da Salmonella"
"0038","Altre infezioni specifiche da Salmonella"
"0039","Infezioni da Salmonella non specificate"
"004","Shigellosi"
"0040","Shigella dysenteriae"
"0041","Shigella flexneri"
"0042","Shigella boydii"
"0043","Shigella sonnei"
"0048","Altre infezioni specifiche da Shigella"
"0049","Shigellosi non specificata"
"005","Altre intossicazioni alimentari (batteriche)"
"0050","Intossicazione alimentare da Stafilococco"
"0051","Botulismo"
"0052","Intossicazione alimentare da Clostridium perfringens (C. welchii)"
"0053","Intossicazione alimentare da altri Clostridi"
"0054","Intossicazione alimentare da Vibrio parahaemolyticus"
"0058","Altre intossicazioni alimentari batteriche"
"00581","Intossicazione alimentare da Vibrio vulnificus"
"00589","Altre intossicazioni alimentari batteriche"
"0059","Intossicazione alimentare non specificata"
"006","Amebiasi"
"0060","Dissenteria amebica acuta senza menzione di ascesso"
"0061","Amebiasi intestinale cronica senza menzione di ascesso"
"0062","Colite amebica non dissenterica"
"0063","Ascesso amebico del fegato"
"0064","Ascesso amebico del polmone"
"0065","Ascesso amebico dell’encefalo"
"0066","Ulcera amebica della pelle"
"0068","Infezione amebica di altre sedi"
"0069","Amebiasi non specificata"
"007","Altre malattie intestinali da protozoi"
"0070","Balantidiasi"
"0071","Giardiasi"
"0072","Coccidiosi"
"0073","Tricomoniasi intestinale"
"0074","Criptosporidiosi"
"0075","Ciclosporiasi"
"0078","Altre malattie intestinali da protozoi"
"0079","Malattia intestinale non specificata da protozoi"
"008","Infezioni intestinali da altri organismi"
"0080","Infezione intestinale da Escherichia coli"
"00800","Infezione intestinale da Escherichia coli non specificato"
"00801","Infezione intestinale da Escherichia coli enteropatogeno"
"00802","Infezione intestinale da Escherichia coli enterotossico"
"00803","Infezione intestinale da Escherichia coli enteroinvasioa"
"00804","Infezione intestinale da Escherichia coli enteroemorragico"
"00809","Altre infezioni intestinali da Esche richia coli"
"0081","Infezione intestinale da bacilli paracolici del gruppo Arizona"
"0082","Infezione intestinale da Aerobacter aerogenes"
"0083","Infezione intestinale da Proteus (mirabilis) (morganii)"
"0084","Infezione intestinale da altri batteri specificati"
"00841","Infezione intestinale da Stafilococco"
"00842","Infezione intestinale da Pseudomonas"
"00843","Infezione intestinale da Campylobacter"
"00844","Infezione intestinale da Yersinia enterocolitica"
"00845","Infezione intestinale da Clostridium difficile"
"00846","Infezione intestinale da altri anaerobi"
"00847","Infezione intestinale da altri batteri gram-negativi"
"00849","Infezione intestinale da altri batteri specificati"
"0085","Enterite batterica non specificata"
"0086","Enterite da virus specificati"
"00861","Enterite da Rotavirus"
"00862","Enterite da Adenovirus"
"00863","Enterite da Norwalk virus"
"00864","Enterite da altri small round virus"
"00865","Enterite da Calicivirus"
"00866","Enterite da Astrovirus"
"00867","Enterite da Enterovirus NIA"
"00869","Altre enteriti virali"
"0088","Infezione intestinale da altri organismi non classificati altrove"
"009","Infezioni intestinali mal definite"
"0090","Colite, enterite e gastroenterite infettive"
"0091","Colite, enterite e gastroenterite di presunta origine infettiva"
"0092","Diarrea infettiva"
"0093","Diarrea di presunta origine infettiva"
"010","Infezione tubercolare primaria"
"0100","Complesso tubercolare primario"
"01000","Complesso tubercolare primario, non specificato"
"01001","Complesso tubercolare primario, esame batteriologico o istologico non effettuato"
"01002","Complesso tubercolare primario, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01003","Complesso tubercolare primario, esame microscopico dell’espettorato positivo"
"01004","Complesso tubercolare primario, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01005","Complesso tubercolare primario, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01006","Complesso tubercolare primario, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0101","Pleurite tubercolare in tubercolosi primaria progressiva"
"01010","Pleurite tubercolare in tubercolosi primaria progressiva, non specificata"
"01011","Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico o istologico non effettuato"
"01012","Pleurite tubercolare in tubercolosi primaria progressiva, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01013","Pleurite tubercolare in tubercolosi primaria progressiva, esame microscopico dell’espettorato positivo"
"01014","Pleurite tubercolare in tubercolosi primaria progressiva, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01015","Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01016","Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico o istologico negativo, ma tubercolosi confermata in laboratorio con altri metodi"
"0108","Altre forme di tubercolosi primaria progressiva"
"01080","Altre forme di tubercolosi primaria progressiva, non specificata"
"01081","Altre forme di tubercolosi primaria progressiva, esame batteriologico o istologico non effettuato"
"01082","Altre forme di tubercolosi primaria progressiva, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01083","Altre forme di tubercolosi primaria progressiva, esame microscopico dell’espettorato positivo"
